tag,id,cluster
World,0,26
World,1,36
World,2,15
World,3,-1
World,4,-1
World,5,35
World,6,26
World,7,29
World,8,36
World,9,19
World,10,19
World,11,-1
World,12,3
World,13,26
World,14,15
World,15,15
World,16,16
World,17,11
World,18,-1
World,19,-1
World,20,-1
World,21,-1
World,22,19
World,23,16
World,24,18
World,25,34
World,26,-1
World,27,26
World,28,-1
World,29,26
World,30,1
World,31,35
World,32,-1
World,33,36
World,34,26
World,35,26
World,36,26
World,37,-1
World,38,-1
World,39,15
World,40,18
World,41,-1
World,42,23
World,43,-1
World,44,26
World,45,19
World,46,-1
World,47,5
World,48,6
World,49,26
World,50,29
World,51,-1
World,52,-1
World,53,19
World,54,15
World,55,-1
World,56,-1
World,57,29
World,58,-1
World,59,-1
World,60,28
World,61,-1
World,62,24
World,63,-1
World,64,18
World,65,34
World,66,18
World,67,2
World,68,24
World,69,-1
World,70,14
World,71,38
World,72,4
World,73,29
World,74,-1
World,75,26
World,76,-1
World,77,15
World,78,18
World,79,19
World,80,27
World,81,22
World,82,15
World,83,22
World,84,29
World,85,-1
World,86,-1
World,87,28
World,88,25
World,89,-1
World,90,33
World,91,15
World,92,22
World,93,-1
World,94,26
World,95,19
World,96,-1
World,97,26
World,98,-1
World,99,-1
World,100,-1
World,101,15
World,102,1
World,103,19
World,104,36
World,105,-1
World,106,15
World,107,-1
World,108,7
World,109,3
World,110,-1
World,111,23
World,112,18
World,113,26
World,114,16
World,115,26
World,116,-1
World,117,26
World,118,24
World,119,33
World,120,33
World,121,4
World,122,26
World,123,-1
World,124,-1
World,125,23
World,126,15
World,127,19
World,128,33
World,129,26
World,130,36
World,131,-1
World,132,19
World,133,-1
World,134,18
World,135,-1
World,136,16
World,137,-1
World,138,36
World,139,-1
World,140,33
World,141,28
World,142,11
World,143,3
World,144,19
World,145,35
World,146,34
World,147,19
World,148,28
World,149,18
World,150,15
World,151,-1
World,152,-1
World,153,18
World,154,-1
World,155,-1
World,156,-1
World,157,15
World,158,-1
World,159,-1
World,160,15
World,161,36
World,162,26
World,163,36
World,164,26
World,165,33
World,166,5
World,167,3
World,168,33
World,169,23
World,170,26
World,171,-1
World,172,29
World,173,29
World,174,26
World,175,43
World,176,-1
World,177,18
World,178,-1
World,179,6
World,180,18
World,181,-1
World,182,15
World,183,24
World,184,18
World,185,19
World,186,-1
World,187,18
World,188,29
World,189,-1
World,190,19
World,191,19
World,192,24
World,193,29
World,194,36
World,195,33
World,196,-1
World,197,26
World,198,23
World,199,33
World,200,16
World,201,-1
World,202,33
World,203,35
World,204,26
World,205,-1
World,206,-1
World,207,3
World,208,36
World,209,24
World,210,11
World,211,36
World,212,26
World,213,22
World,214,33
