tag,id,cluster
World,0,1
World,1,1
World,2,1
World,3,1
World,4,2
World,5,1
World,6,1
World,7,1
World,8,1
World,9,1
World,10,1
World,11,1
World,12,1
World,13,1
World,14,3
World,15,1
World,16,1
World,17,3
World,18,1
World,19,1
World,20,1
World,21,1
World,22,1
World,23,1
World,24,1
World,25,1
World,26,1
World,27,1
World,28,1
World,29,1
World,30,0
World,31,1
World,32,1
World,33,1
World,34,1
World,35,1
World,36,1
World,37,0
World,38,1
World,39,1
World,40,1
World,41,1
World,42,1
World,43,1
World,44,1
World,45,1
World,46,1
World,47,0
World,48,1
World,49,1
World,50,1
World,51,1
World,52,1
World,53,1
World,54,1
World,55,1
World,56,1
World,57,3
World,58,1
World,59,2
World,60,1
World,61,1
World,62,1
World,63,1
World,64,1
World,65,1
World,66,0
World,67,0
World,68,2
World,69,1
World,70,3
World,71,3
World,72,0
World,73,1
World,74,0
World,75,1
World,76,1
World,77,1
World,78,1
World,79,1
World,80,3
World,81,1
World,82,1
World,83,1
World,84,1
World,85,1
World,86,1
World,87,0
World,88,2
World,89,1
World,90,1
World,91,1
World,92,1
World,93,0
World,94,1
World,95,1
World,96,1
World,97,1
World,98,1
World,99,1
World,100,1
World,101,1
World,102,0
World,103,1
World,104,1
World,105,1
World,106,1
World,107,1
World,108,0
World,109,1
World,110,1
World,111,1
World,112,1
World,113,1
World,114,1
World,115,1
World,116,1
World,117,1
World,118,1
World,119,1
World,120,1
World,121,0
World,122,1
World,123,1
World,124,1
World,125,1
World,126,1
World,127,1
World,128,1
World,129,1
World,130,1
World,131,1
World,132,1
World,133,1
World,134,1
World,135,1
World,136,1
World,137,0
World,138,1
World,139,1
World,140,1
World,141,1
World,142,2
World,143,1
World,144,1
World,145,1
World,146,1
World,147,1
World,148,1
World,149,1
World,150,1
World,151,1
World,152,1
World,153,1
World,154,1
World,155,1
World,156,2
World,157,1
World,158,1
World,159,1
World,160,1
World,161,1
World,162,1
World,163,1
World,164,1
World,165,1
World,166,0
World,167,0
World,168,1
World,169,1
World,170,1
World,171,1
World,172,1
World,173,1
World,174,1
World,175,1
World,176,3
World,177,1
World,178,2
World,179,0
World,180,1
World,181,1
World,182,1
World,183,1
World,184,1
World,185,1
World,186,1
World,187,1
World,188,1
World,189,1
World,190,1
World,191,1
World,192,1
World,193,1
World,194,1
World,195,1
World,196,1
World,197,1
World,198,1
World,199,1
World,200,1
World,201,3
World,202,1
World,203,1
World,204,1
World,205,1
World,206,1
World,207,2
World,208,1
World,209,1
World,210,3
World,211,1
World,212,1
World,213,3
World,214,1
World,215,3
World,216,1
World,217,1
World,218,1
World,219,1
World,220,1
World,221,1
World,222,1
World,223,1
World,224,1
World,225,1
World,226,0
World,227,1
World,228,0
World,229,1
World,230,1
World,231,1
World,232,1
World,233,1
World,234,1
World,235,1
World,236,3
World,237,1
World,238,0
World,239,1
World,240,1
World,241,1
World,242,1
World,243,1
World,244,1
World,245,0
World,246,1
World,247,1
World,248,1
World,249,3
World,250,0
World,251,0
World,252,1
World,253,0
World,254,1
World,255,1
World,256,1
World,257,1
World,258,1
World,259,1
World,260,1
World,261,2
World,262,1
World,263,3
World,264,1
World,265,1
World,266,1
World,267,1
World,268,1
World,269,1
World,270,2
World,271,1
World,272,1
World,273,1
World,274,1
World,275,1
World,276,1
World,277,1
World,278,1
World,279,1
World,280,1
World,281,1
World,282,1
World,283,1
World,284,1
World,285,1
World,286,1
World,287,0
World,288,1
World,289,1
World,290,1
World,291,1
World,292,1
World,293,0
World,294,1
World,295,1
World,296,1
World,297,1
World,298,1
World,299,1
World,300,1
World,301,1
World,302,1
World,303,1
World,304,3
World,305,3
World,306,1
World,307,1
World,308,1
World,309,1
World,310,1
World,311,1
World,312,1
World,313,0
World,314,1
World,315,1
World,316,1
World,317,2
World,318,1
World,319,1
World,320,1
World,321,1
World,322,1
World,323,1
World,324,1
World,325,1
World,326,1
World,327,1
World,328,1
World,329,1
World,330,1
World,331,1
World,332,1
World,333,1
World,334,1
World,335,1
World,336,1
World,337,1
World,338,1
World,339,1
World,340,1
World,341,1
World,342,1
World,343,1
World,344,1
World,345,1
World,346,1
World,347,1
World,348,1
World,349,1
World,350,1
World,351,1
World,352,1
World,353,1
World,354,1
World,355,1
World,356,1
World,357,1
World,358,1
World,359,1
World,360,1
World,361,1
World,362,1
World,363,1
World,364,1
World,365,1
World,366,1
World,367,1
World,368,1
World,369,1
World,370,1
World,371,1
World,372,1
World,373,1
World,374,1
World,375,1
World,376,1
World,377,1
World,378,0
World,379,1
World,380,1
World,381,1
World,382,1
World,383,1
World,384,1
World,385,1
World,386,1
World,387,1
World,388,0
World,389,1
World,390,0
World,391,1
World,392,1
World,393,1
World,394,1
World,395,1
World,396,1
World,397,1
World,398,1
World,399,1
World,400,1
World,401,1
World,402,1
World,403,1
World,404,1
World,405,0
World,406,1
World,407,1
World,408,1
World,409,1
World,410,1
World,411,1
World,412,1
World,413,1
World,414,1
World,415,0
World,416,1
World,417,1
World,418,1
World,419,1
World,420,1
World,421,1
World,422,1
World,423,1
World,424,1
World,425,1
World,426,1
World,427,1
World,428,0
World,429,1
World,430,1
World,431,1
World,432,1
World,433,1
World,434,2
World,435,1
World,436,1
World,437,1
World,438,1
World,439,1
World,440,1
World,441,1
World,442,1
World,443,1
World,444,1
World,445,0
World,446,1
World,447,1
World,448,1
World,449,1
World,450,1
World,451,0
World,452,1
World,453,1
World,454,1
World,455,1
World,456,1
World,457,1
World,458,1
World,459,1
World,460,1
World,461,0
World,462,1
World,463,0
World,464,0
World,465,1
World,466,1
World,467,1
World,468,1
World,469,1
World,470,1
World,471,1
World,472,1
World,473,1
World,474,1
World,475,1
World,476,1
World,477,0
World,478,1
World,479,1
World,480,1
World,481,3
World,482,1
World,483,0
World,484,1
World,485,1
World,486,1
World,487,1
World,488,1
World,489,3
World,490,1
World,491,1
World,492,1
World,493,1
World,494,1
World,495,1
World,496,1
World,497,1
World,498,1
World,499,1
World,500,1
World,501,1
World,502,1
World,503,1
World,504,1
World,505,1
World,506,1
World,507,1
World,508,1
World,509,2
World,510,1
World,511,1
World,512,0
World,513,1
World,514,1
World,515,1
World,516,1
World,517,1
World,518,1
World,519,1
World,520,1
World,521,0
World,522,0
World,523,1
World,524,0
World,525,1
World,526,1
World,527,1
World,528,1
World,529,1
World,530,1
World,531,1
World,532,2
World,533,2
World,534,1
World,535,0
World,536,1
World,537,1
World,538,2
