tag,id,cluster,membership_0,membership_1,membership_2,membership_3
World,0,2,0.24999996936589666,0.2500000526903305,0.2500001922182292,0.24999978572554357
World,1,2,0.24999996746548062,0.25000006882114917,0.2500002436045481,0.24999972010882215
World,2,2,0.24999998900282097,0.2500000229893946,0.2500000817555231,0.24999990625226134
World,3,2,0.2500000158544827,0.2500000533981551,0.25000015027539524,0.24999978047196694
World,4,2,0.24999995142365333,0.2500000142548208,0.2500000901395112,0.24999994418201463
World,5,2,0.25000000698044367,0.25000005661182084,0.2500001685527599,0.24999976785497555
World,6,2,0.24999997112061717,0.2500000276025283,0.25000011294615526,0.24999988833069922
World,7,2,0.24999995876092293,0.25000003957378836,0.2500001603610868,0.24999984130420197
World,8,2,0.24999994447064777,0.2500000595801962,0.2500002366825794,0.24999975926657653
World,9,2,0.24999997206518076,0.25000005831762434,0.25000020677635626,0.24999976284083864
World,10,2,0.2499999860143181,0.25000002737610333,0.25000009796407724,0.24999988864550135
World,11,2,0.24999996551358125,0.25000001577723757,0.25000008164712006,0.24999993706206117
World,12,2,0.24999999428733513,0.2500000027773927,0.2500000139935277,0.24999998894174447
World,13,2,0.24999996174278746,0.2500000660404041,0.25000024053440545,0.249999731682403
World,14,2,0.2499999495642302,0.25000001020226503,0.25000007898578275,0.2499999612477221
World,15,2,0.24999993484873384,0.2500000390908937,0.250000182814266,0.2499998432461065
World,16,2,0.25000003651038255,0.2500000376394213,0.25000008271209573,0.24999984313810042
World,17,3,0.24999987366924353,0.24999997882949423,0.2500000532073866,0.2500000942938756
World,18,2,0.24999997337982205,0.2500000524446281,0.2500001873943012,0.24999978678124868
World,19,2,0.24999998166267545,0.2500000238396301,0.2500000913554251,0.24999990314226928
World,20,2,0.24999997128204124,0.2500000086641927,0.2500000539569318,0.24999996609683428
World,21,2,0.24999997681920474,0.25000004207309234,0.2500001523519701,0.2499998287557328
World,22,2,0.24999997045437972,0.2500000253201061,0.2500001066237614,0.24999989760175276
World,23,2,0.25000000642251496,0.25000000800668365,0.25000001888779466,0.24999996668300667
World,24,2,0.24999999831700537,0.2500000319016262,0.2500000998702454,0.24999986991112302
World,25,2,0.24999994547150403,0.2500000409726967,0.2500001780226872,0.2499998355331121
World,26,2,0.24999997881105782,0.2500000112706405,0.2500000551781047,0.24999995474019707
World,27,0,0.25000005744305875,0.2500000242518783,0.25000002153670137,0.2499998967683616
World,28,0,0.2500000117642399,0.2500000064965146,0.25000000907830044,0.2499999726609451
World,29,2,0.24999998142603813,0.2500000340978088,0.2500001232244917,0.24999986125166146
World,30,0,0.2500000206401443,0.2499999963204313,0.24999996917186232,0.25000001386756204
World,31,2,0.24999994932597452,0.25000006189629903,0.2500002393078564,0.24999974946987005
World,32,2,0.24999997135530255,0.25000005276520787,0.2500001905741212,0.24999978530536845
World,33,2,0.24999999299850026,0.25000004174488344,0.25000013558948236,0.24999982966713394
World,34,2,0.25000000975825415,0.25000003537752424,0.2500001008125741,0.24999985405164749
World,35,2,0.2499999858612373,0.25000004678528165,0.25000015852458957,0.24999980882889142
World,36,2,0.24999998592317,0.25000005452894075,0.25000018252680595,0.24999977702108336
World,37,0,0.25000006510589895,0.25000000801610844,0.24999996380289977,0.24999996307509276
World,38,2,0.24999998685523175,0.25000004350729105,0.25000014718238617,0.24999982245509103
World,39,2,0.2500000044662755,0.2500000143808883,0.25000004068446025,0.24999994046837584
