tag,id,level_1_cluster,level_1_membership_0,level_1_membership_1,level_1_membership_2,level_1_membership_3,level_1_membership_4,level_1_membership_5,level_1_membership_6,level_1_membership_7,level_2_cluster,level_2_membership_0,level_2_membership_1,level_2_membership_2,level_2_membership_3,level_2_membership_4,level_2_membership_5,level_2_membership_6,level_2_membership_7,level_3_cluster,level_3_membership_0,level_3_membership_1,level_3_membership_2,level_3_membership_3,level_3_membership_4,level_3_membership_5,level_3_membership_6,level_3_membership_7,level_4_cluster,level_4_membership_0,level_4_membership_1,level_4_membership_2,level_4_membership_3,level_4_membership_4,level_4_membership_5,level_4_membership_6,level_4_membership_7,cluster,level_1_path_membership_0,level_1_path_membership_1,level_2_path_membership_0_0,level_2_path_membership_0_1,level_2_path_membership_1_0,level_2_path_membership_1_1,level_3_path_membership_0_0_0,level_3_path_membership_0_0_1,level_3_path_membership_0_1_0,level_3_path_membership_0_1_1,level_3_path_membership_1_0_0,level_3_path_membership_1_0_1,level_3_path_membership_1_1_0,level_3_path_membership_1_1_1,level_4_path_membership_0_0_0_0,level_4_path_membership_0_0_0_1,level_4_path_membership_0_0_1_0,level_4_path_membership_0_0_1_1,level_4_path_membership_0_1_0_0,level_4_path_membership_0_1_0_1,level_4_path_membership_0_1_1_0,level_4_path_membership_0_1_1_1,level_4_path_membership_1_0_0_0,level_4_path_membership_1_0_0_1,level_4_path_membership_1_0_1_0,level_4_path_membership_1_0_1_1,level_4_path_membership_1_1_0_0,level_4_path_membership_1_1_0_1,level_4_path_membership_1_1_1_0,level_4_path_membership_1_1_1_1,cluster_path,is_noise,noise_level,leaf_level
World,0,0,0.7225543360964151,0.27744566390358494,,,,,,,1,0.49999986373409894,0.500000136265901,,,,,,,0,0.5000020860843337,0.49999791391566634,,,,,,,0,0.5000001680788521,0.499999831921148,,,,,,,0,0.7225543360964151,0.27744566390358494,0.3612770695886899,0.3612772665077252,0.1387228181233507,0.13872284578023428,0.1806384736148894,0.18063859597380044,0.18063938690870843,0.18063787959901678,0.06936141971494296,0.06936139840840773,0.06936142106524283,0.06936142471499145,0.0903192314945435,0.09031924212034592,0.09031931723768949,0.09031927873611094,0.09031972381601497,0.09031966309269346,0.09031887233453702,0.09031900726447976,0.034680708447789844,0.034680711267153115,0.03468069820056886,0.034680700207838866,0.03468071577573906,0.03468070528950378,0.03468071226543551,0.03468071244955594,0/1/0/0,False,-1,4
World,1,0,0.7699833154668065,0.23001668453319357,,,,,,,0,0.5000004595962438,0.4999995404037562,,,,,,,1,0.4999997374980942,0.5000002625019058,,,,,,,0,0.5000007486160833,0.49999925138391665,,,,,,,0,0.7699833154668064,0.23001668453319352,0.38499201161484276,0.3849913038519636,0.11500835102895654,0.11500833350423698,0.19249590474628453,0.19249610686855817,0.19249574034512396,0.19249556350683966,0.05750418149620625,0.05750416953275028,0.05750416085021885,0.05750417265401812,0.09624790557662784,0.09624799916965668,0.09624819753996067,0.0962479093285975,0.09624783936141974,0.09624790098370423,0.0962477205383829,0.09624784296845676,0.028752089156592307,0.028752092339613945,0.02875208312368503,0.028752086409065257,0.028752079543080233,0.02875208130713862,0.02875208453077721,0.02875208812324091,0/0/1/0,False,-1,4
World,2,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,0.5750939293518554,0.42490607064814445,0.2875468972088898,0.2875470321429656,0.21245303446160774,0.21245303618653671,0.14377346801424018,0.14377342919464964,0.14377350656687632,0.14377352557608927,0.10622650770435535,0.10622652675725239,0.10622653133003034,0.10622650485650635,0.07188673275865984,0.07188673525558034,0.07188670311696845,0.07188672607768119,0.07188671778472167,0.07188678878215465,0.07188676017088799,0.07188676540520128,0.053113248356212714,0.053113259348142636,0.05311326443664881,0.05311326232060358,0.05311325999534386,0.05311327133468647,0.05311325606756951,0.05311324878893684,noise,True,1,-1
World,3,0,0.7000030157439144,0.29999698425608556,,,,,,,0,0.5000001069454305,0.4999998930545695,,,,,,,0,0.5000000778435052,0.4999999221564949,,,,,,,1,0.49999997590431605,0.500000024095684,,,,,,,1,0.7000030157439142,0.2999969842560857,0.350001582734081,0.3500014330098332,0.14999850994601607,0.14999847431006963,0.17500081861239047,0.17500076412169052,0.1750004606503676,0.17500097235946563,0.07499925145882053,0.07499925848719555,0.07499923596732173,0.0749992383427479,0.08750040508943083,0.08750041352295965,0.08750037947653658,0.08750038464515394,0.08750019671539773,0.08750026393496986,0.0875004686721851,0.08750050368728055,0.03749962292229275,0.03749962853652778,0.03749963015720824,0.037499628329987315,0.037499613737874866,0.03749962222944687,0.03749962102301103,0.03749961731973687,0/0/0/1,False,-1,4
World,4,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,0.5738212173607361,0.42617878263926384,0.28691065254616976,0.2869105648145664,0.21308940292694958,0.21308937971231423,0.14345528117042114,0.14345537137574868,0.14345529413921887,0.14345527067534752,0.10654469543117233,0.10654470749577724,0.10654469102908438,0.10654468868322987,0.07172764828417781,0.07172763288624333,0.07172769308905885,0.07172767828668983,0.07172764744167673,0.07172764669754214,0.0717276049553488,0.07172766571999872,0.05327235002060095,0.05327234541057139,0.05327235090943893,0.05327235658633831,0.05327233849117357,0.05327235253791082,0.05327234410905349,0.053272344574176386,noise,True,1,-1
World,5,0,0.7226197712348297,0.27738022876517027,,,,,,,0,0.5000004835355425,0.49999951646445756,,,,,,,0,0.500000245687209,0.4999997543127909,,,,,,,0,0.500000836355385,0.49999916364461516,,,,,,,0,0.7226197712348297,0.2773802287651703,0.36131023502975784,0.3613095362050717,0.13869013601578936,0.138690092749381,0.18065520628418216,0.18065502874557565,0.18065456524648876,0.18065497095858293,0.06934506366030267,0.0693450723554867,0.06934504262439692,0.06934505012498408,0.09032775423404568,0.09032745205013647,0.09032753636944338,0.09032749237613229,0.09032729018012678,0.090327275066362,0.0903274662961177,0.09032750466246524,0.03467252645641413,0.03467253720388854,0.03467253520572077,0.034672537149765925,0.03467252309974023,0.03467251952465669,0.03467252741315107,0.03467252271183301,0/0/0/0,False,-1,4
World,6,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,0.6194935968192335,0.3805064031807664,0.3097467052917823,0.30974689152745133,0.1902531976432412,0.1902532055375252,0.15487337387347014,0.1548733314183121,0.15487390537004192,0.15487298615740944,0.09512660435213319,0.09512659329110798,0.09512660993745398,0.09512659560007121,0.07743666220152334,0.07743671167194678,0.07743667016849212,0.07743666124981999,0.07743691891775849,0.07743698645228345,0.07743649725151132,0.0774364889058981,0.04756330319745267,0.047563301154680535,0.047563298630181404,0.04756329466092656,0.04756330201686946,0.04756330792058451,0.04756329202217575,0.04756330357789546,noise,True,1,-1
World,7,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,0.6296481609849955,0.37035183901500446,0.3148240887532262,0.3148240722317693,0.18517593623419468,0.1851759027808098,0.15741209910572035,0.15741198964750586,0.15741208998539144,0.15741198224637784,0.09258795245542162,0.09258798377877309,0.09258794004746694,0.09258796273334288,0.07870602023278928,0.07870607887293109,0.07870600237668673,0.07870598727081912,0.07870603627732865,0.07870605370806279,0.07870595904115858,0.07870602320521927,0.04629397357096937,0.04629397888445224,0.04629398518915594,0.04629399858961715,0.046293968607703656,0.046293971439763285,0.04629397758084168,0.0462939851525012,noise,True,1,-1
World,8,0,0.7470056460897257,0.2529943539102743,,,,,,,0,0.5000003889542026,0.4999996110457973,,,,,,,0,0.5000001096970822,0.49999989030291786,,,,,,,0,0.5000000207939193,0.49999997920608075,,,,,,,0,0.7470056460897257,0.2529943539102743,0.3735031135958483,0.3735025324938774,0.12649718308690305,0.12649717082337128,0.18675159777012587,0.1867515158257225,0.18675116779297887,0.18675136470089854,0.06324859189701998,0.06324859118988307,0.06324857856522907,0.06324859225814221,0.09337580276836058,0.0933757950017653,0.09337582372882411,0.09337569209689837,0.09337558128542904,0.09337558650754985,0.09337566022340976,0.09337570447748877,0.03162429344345729,0.03162429845356269,0.03162429513983921,0.031624296050043854,0.03162428871027822,0.03162428985495085,0.03162429428943934,0.03162429796870287,0/0/0/0,False,-1,4
World,9,0,0.7231632102808071,0.27683678971919295,,,,,,,1,0.49999987060500867,0.5000001293949914,,,,,,,1,0.49999806596501933,0.5000019340349807,,,,,,,0,0.5000003168818795,0.4999996831181205,,,,,,,0,0.7231632102808071,0.27683678971919295,0.3615815115667062,0.3615816987141009,0.13841839445273582,0.13841839526645713,0.1807908164918245,0.1807906950748817,0.18079015004539684,0.18079154866870406,0.06920919203213546,0.06920920242060034,0.06920919916112009,0.06920919610533705,0.09039541237551489,0.09039540411630959,0.0903953384800564,0.09039535659482531,0.09039505755736969,0.09039509248802714,0.09039583162391773,0.09039571704478633,0.03460459164358961,0.034604600388545854,0.03460460187766987,0.03460460054293047,0.0346046024640114,0.03460459669710869,0.03460459806194704,0.034604598043390014,0/1/1/0,False,-1,4
